Scenario,Subject,Method,Model,Features,Accuracy,F1,TrainTime_s,BaselineAcc
Subject-Dependent,Subject14,pca,SVM,52,0.6523736600306279,0.653286243262394,0.4067347049713135,0.5513016845329249
Cross-Subject,Subject14,pca,SVM,35,0.4767744332961724,0.40066793459748845,55.01953434944153,0.5254552211073951
Subject-Dependent,Subject14,pca,KNN,52,0.5604900459418071,0.5605587758334744,0.00430607795715332,0.5513016845329249
Cross-Subject,Subject14,pca,KNN,35,0.5243403939056113,0.5244678184780937,0.49528956413269043,0.5254552211073951
Subject-Dependent,Subject14,pca,RF,52,0.6278713629402757,0.6281443620705598,4.9939284324646,0.5513016845329249
Cross-Subject,Subject14,pca,RF,35,0.5878855444072836,0.5863466931509046,16.96152663230896,0.5254552211073951
Subject-Dependent,Subject14,pca,DT,52,0.55895865237366,0.5600921679156569,1.0636858940124512,0.5513016845329249
Cross-Subject,Subject14,pca,DT,35,0.5202526941657376,0.5205497457809057,74.40261673927307,0.5254552211073951
Subject-Dependent,Subject14,pca,GBoosting,52,0.6600306278713629,0.6609261594454204,8.42187762260437,0.5513016845329249
Cross-Subject,Subject14,pca,GBoosting,35,0.6213303604607953,0.6205534745685368,200.55818629264832,0.5254552211073951
Subject-Dependent,Subject15,none,SVM,84,0.5895865237366003,0.584429069792066,0.5251519680023193,0.5513016845329249
Cross-Subject,Subject15,none,SVM,84,0.45001858045336307,0.3776672207090678,45.27252721786499,0.5254552211073951
Subject-Dependent,Subject15,none,KNN,84,0.6110260336906586,0.6120129061855234,0.020915508270263672,0.5513016845329249
Cross-Subject,Subject15,none,KNN,84,0.5261984392419174,0.5257188413017241,0.236342191696167,0.5254552211073951
Subject-Dependent,Subject15,none,RF,84,0.6539050535987749,0.6542047326773928,1.7823402881622314,0.5513016845329249
Cross-Subject,Subject15,none,RF,84,0.5767372723894463,0.5293121867576264,64.11767077445984,0.5254552211073951
Subject-Dependent,Subject15,none,DT,84,0.5604900459418071,0.5616297632582263,5.785170078277588,0.5513016845329249
Cross-Subject,Subject15,none,DT,84,0.5392047565960609,0.5374611655391938,179.55065894126892,0.5254552211073951
Subject-Dependent,Subject15,none,GBoosting,84,0.6401225114854517,0.6399432169209512,10.824543476104736,0.5513016845329249
Cross-Subject,Subject15,none,GBoosting,84,0.5804533630620587,0.5314184206730603,504.66456866264343,0.5254552211073951
Subject-Dependent,Subject15,anova,SVM,53,0.6171516079632465,0.6134741310160684,0.6940317153930664,0.5513016845329249
Cross-Subject,Subject15,anova,SVM,30,0.45001858045336307,0.4385691620696382,22.501204013824463,0.5254552211073951
Subject-Dependent,Subject15,anova,KNN,53,0.6125574272588055,0.6124949639304595,0.01890420913696289,0.5513016845329249
Cross-Subject,Subject15,anova,KNN,30,0.5287997027127462,0.5283651520883875,0.15382695198059082,0.5254552211073951
Subject-Dependent,Subject15,anova,RF,53,0.664624808575804,0.6629652061138727,3.1509130001068115,0.5513016845329249
Cross-Subject,Subject15,anova,RF,30,0.568561872909699,0.5532964172113485,31.323464155197144,0.5254552211073951
Subject-Dependent,Subject15,anova,DT,53,0.6110260336906586,0.612025731425614,2.1664793491363525,0.5513016845329249
Cross-Subject,Subject15,anova,DT,30,0.5161649944258639,0.515689893229736,37.94614577293396,0.5254552211073951
Subject-Dependent,Subject15,anova,GBoosting,53,0.6370597243491577,0.6366130901751036,29.053383827209473,0.5513016845329249
Cross-Subject,Subject15,anova,GBoosting,30,0.557785209959123,0.5385475073837087,253.36196160316467,0.5254552211073951
Subject-Dependent,Subject15,fi,SVM,27,0.6493108728943339,0.648442518425287,1.7514591217041016,0.5513016845329249
Cross-Subject,Subject15,fi,SVM,27,0.4630248978075065,0.3908268791022762,56.77294874191284,0.5254552211073951
Subject-Dependent,Subject15,fi,KNN,27,0.6018376722817764,0.602877480732198,0.004323720932006836,0.5513016845329249
Cross-Subject,Subject15,fi,KNN,27,0.5310293571163136,0.5302930358323334,0.39015769958496094,0.5254552211073951
Subject-Dependent,Subject15,fi,RF,27,0.664624808575804,0.6650386318095578,9.037856578826904,0.5513016845329249
Cross-Subject,Subject15,fi,RF,27,0.5730211817168339,0.5346644769430772,34.87943983078003,0.5254552211073951
Subject-Dependent,Subject15,fi,DT,27,0.5712098009188361,0.5722100796689549,0.3428354263305664,0.5513016845329249
Cross-Subject,Subject15,fi,DT,27,0.5377183203270159,0.5345874828643479,26.137797832489014,0.5254552211073951
Subject-Dependent,Subject15,fi,GBoosting,27,0.6584992343032159,0.6585526376685183,28.33481502532959,0.5513016845329249
Cross-Subject,Subject15,fi,GBoosting,27,0.5841694537346711,0.5418958118923412,246.22537851333618,0.5254552211073951
Subject-Dependent,Subject15,lcc,SVM,39,0.6186830015313936,0.6165845696887402,0.3976404666900635,0.5513016845329249
Cross-Subject,Subject15,lcc,SVM,19,0.43701226309921964,0.41788680173725046,75.07563924789429,0.5254552211073951
Subject-Dependent,Subject15,lcc,KNN,39,0.5803981623277182,0.5806484692662028,0.004813671112060547,0.5513016845329249
Cross-Subject,Subject15,lcc,KNN,19,0.5284280936454849,0.5283422721324101,0.23106932640075684,0.5254552211073951
Subject-Dependent,Subject15,lcc,RF,39,0.6600306278713629,0.6600306278713629,1.7813074588775635,0.5513016845329249
Cross-Subject,Subject15,lcc,RF,19,0.5477517651430694,0.5410333238584075,27.61914086341858,0.5254552211073951
Subject-Dependent,Subject15,lcc,DT,39,0.5635528330781011,0.5639863806376545,1.661426305770874,0.5513016845329249
Cross-Subject,Subject15,lcc,DT,19,0.4990709773318469,0.4992194403812975,11.50386381149292,0.5254552211073951
Subject-Dependent,Subject15,lcc,GBoosting,39,0.6324655436447167,0.6322178271935269,6.12628173828125,0.5513016845329249
Cross-Subject,Subject15,lcc,GBoosting,19,0.5719063545150501,0.5610633684494781,101.74083018302917,0.5254552211073951
Subject-Dependent,Subject15,pca,SVM,40,0.6018376722817764,0.6014235108408612,0.9745395183563232,0.5513016845329249
Cross-Subject,Subject15,pca,SVM,35,0.4693422519509476,0.4401478095201238,96.194260597229,0.5254552211073951
Subject-Dependent,Subject15,pca,KNN,40,0.5681470137825421,0.5673561871097219,0.04898381233215332,0.5513016845329249
Cross-Subject,Subject15,pca,KNN,35,0.5143069490895578,0.5136607186651113,0.17981910705566406,0.5254552211073951
Subject-Dependent,Subject15,pca,RF,40,0.6094946401225115,0.6100629525395203,6.369918584823608,0.5513016845329249
Cross-Subject,Subject15,pca,RF,35,0.5377183203270159,0.5169794914166547,31.44767189025879,0.5254552211073951
Subject-Dependent,Subject15,pca,DT,40,0.5620214395099541,0.563120696317799,1.6931748390197754,0.5513016845329249
Cross-Subject,Subject15,pca,DT,35,0.5165366034931252,0.5157944806075588,22.657352447509766,0.5254552211073951
Subject-Dependent,Subject15,pca,GBoosting,40,0.5941807044410413,0.595212426554282,5.03631067276001,0.5513016845329249
Cross-Subject,Subject15,pca,GBoosting,35,0.5514678558156819,0.5330699020334659,228.1450605392456,0.5254552211073951
Subject-Dependent,Subject16,none,SVM,84,0.5421133231240429,0.5395127025832672,0.5089080333709717,0.5513016845329249
Cross-Subject,Subject16,none,SVM,84,0.5399479747305834,0.5382071959173564,60.855026721954346,0.5254552211073951
Subject-Dependent,Subject16,none,KNN,84,0.5252679938744257,0.5224375347700592,0.006773233413696289,0.5513016845329249
Cross-Subject,Subject16,none,KNN,84,0.5276848755109624,0.5273175052383259,0.9665505886077881,0.5254552211073951
Subject-Dependent,Subject16,none,RF,84,0.552833078101072,0.5493635708071135,10.276124238967896,0.5513016845329249
Cross-Subject,Subject16,none,RF,84,0.5752508361204013,0.5727745253470413,105.80187153816223,0.5254552211073951
Subject-Dependent,Subject16,none,DT,84,0.557427258805513,0.5581977397011364,3.04280424118042,0.5513016845329249
Cross-Subject,Subject16,none,DT,84,0.5176514306949089,0.5176604895344591,106.39947056770325,0.5254552211073951
Subject-Dependent,Subject16,none,GBoosting,84,0.5620214395099541,0.5598926341652222,17.122694969177246,0.5513016845329249
Cross-Subject,Subject16,none,GBoosting,84,0.5756224451876626,0.5742226802158629,510.4299740791321,0.5254552211073951
Subject-Dependent,Subject16,anova,SVM,48,0.5497702909647779,0.5465553320131575,0.5823040008544922,0.5513016845329249
Cross-Subject,Subject16,anova,SVM,30,0.5436640654031958,0.4989115803755524,59.40644311904907,0.5254552211073951
Subject-Dependent,Subject16,anova,KNN,48,0.5283307810107197,0.5273814411515334,0.008182048797607422,0.5513016845329249
Cross-Subject,Subject16,anova,KNN,30,0.5358602749907098,0.5346024845116547,0.460629940032959,0.5254552211073951
Subject-Dependent,Subject16,anova,RF,48,0.5513016845329249,0.5511564696139292,2.872907876968384,0.5513016845329249
Cross-Subject,Subject16,anova,RF,30,0.5629877369007804,0.5533986437864817,16.219937801361084,0.5254552211073951
Subject-Dependent,Subject16,anova,DT,48,0.5390505359877489,0.5402529874166342,1.2556874752044678,0.5513016845329249
Cross-Subject,Subject16,anova,DT,30,0.5269416573764399,0.5264628117467409,87.97934246063232,0.5254552211073951
Subject-Dependent,Subject16,anova,GBoosting,48,0.5375191424196019,0.5350209133352893,23.037188291549683,0.5513016845329249
Cross-Subject,Subject16,anova,GBoosting,30,0.5719063545150501,0.5613832018907873,199.61680102348328,0.5254552211073951
Subject-Dependent,Subject16,fi,SVM,27,0.5620214395099541,0.5539309883963518,1.5550100803375244,0.5513016845329249
Cross-Subject,Subject16,fi,SVM,23,0.5124489037532516,0.48965688096122884,95.35295796394348,0.5254552211073951
Subject-Dependent,Subject16,fi,KNN,27,0.55895865237366,0.5552555082971519,0.0061075687408447266,0.5513016845329249
Cross-Subject,Subject16,fi,KNN,23,0.5091044221479004,0.5075083147941546,0.10736441612243652,0.5254552211073951
Subject-Dependent,Subject16,fi,RF,27,0.5957120980091883,0.5935282156308489,1.1957910060882568,0.5513016845329249
Cross-Subject,Subject16,fi,RF,23,0.5763656633221851,0.5759386234330893,31.147515058517456,0.5254552211073951
Subject-Dependent,Subject16,fi,DT,27,0.5513016845329249,0.5523446177542959,1.588165283203125,0.5513016845329249
Cross-Subject,Subject16,fi,DT,23,0.5358602749907098,0.5314463344557869,49.09949779510498,0.5254552211073951
Subject-Dependent,Subject16,fi,GBoosting,27,0.5604900459418071,0.5584695951815889,4.990994930267334,0.5513016845329249
Cross-Subject,Subject16,fi,GBoosting,23,0.5767372723894463,0.575835747568922,128.3940305709839,0.5254552211073951
Subject-Dependent,Subject16,lcc,SVM,37,0.5758039816232772,0.5742807646404771,0.633669376373291,0.5513016845329249
Cross-Subject,Subject16,lcc,SVM,19,0.5269416573764399,0.46250061189980746,38.94590926170349,0.5254552211073951
Subject-Dependent,Subject16,lcc,KNN,37,0.554364471669219,0.5533733922213225,0.018410921096801758,0.5513016845329249
Cross-Subject,Subject16,lcc,KNN,19,0.5332590115198811,0.5329848504061795,0.1397538185119629,0.5254552211073951
Subject-Dependent,Subject16,lcc,RF,37,0.5497702909647779,0.5478170350810095,1.319441795349121,0.5513016845329249
Cross-Subject,Subject16,lcc,RF,19,0.5354886659234486,0.529812005559966,16.61406183242798,0.5254552211073951
Subject-Dependent,Subject16,lcc,DT,37,0.4992343032159265,0.49610470144571645,0.4997990131378174,0.5513016845329249
Cross-Subject,Subject16,lcc,DT,19,0.5109624674842066,0.5109624674842066,33.48585748672485,0.5254552211073951
Subject-Dependent,Subject16,lcc,GBoosting,37,0.5620214395099541,0.5588939624345681,31.13155961036682,0.5513016845329249
Cross-Subject,Subject16,lcc,GBoosting,19,0.5496098104793757,0.5459473764310954,146.12764048576355,0.5254552211073951
Subject-Dependent,Subject16,pca,SVM,47,0.555895865237366,0.5548122778214662,0.8422279357910156,0.5513016845329249
Cross-Subject,Subject16,pca,SVM,35,0.5492382014121144,0.530006137528688,25.61525058746338,0.5254552211073951
Subject-Dependent,Subject16,pca,KNN,47,0.5130168453292496,0.5130922212326292,0.005938053131103516,0.5513016845329249
Cross-Subject,Subject16,pca,KNN,35,0.5466369379412858,0.5458270507534857,0.07219576835632324,0.5254552211073951
Subject-Dependent,Subject16,pca,RF,47,0.5222052067381318,0.5225525846554814,1.5036554336547852,0.5513016845329249
Cross-Subject,Subject16,pca,RF,35,0.5603864734299517,0.5433417885001072,22.276034355163574,0.5254552211073951
Subject-Dependent,Subject16,pca,DT,47,0.5176110260336907,0.5184508235496815,1.6485273838043213,0.5513016845329249
Cross-Subject,Subject16,pca,DT,35,0.5091044221479004,0.508451269591899,73.16775703430176,0.5254552211073951
Subject-Dependent,Subject16,pca,GBoosting,47,0.5283307810107197,0.528255563128102,35.54064750671387,0.5513016845329249
Cross-Subject,Subject16,pca,GBoosting,35,0.5652173913043478,0.5451111969255726,235.22447657585144,0.5254552211073951
Subject-Dependent,Subject17,none,SVM,84,0.7427258805513017,0.7323043142773893,0.5616579055786133,0.5513016845329249
Cross-Subject,Subject17,none,SVM,84,0.46339650687476774,0.34996340357014755,46.3158860206604,0.5254552211073951
Subject-Dependent,Subject17,none,KNN,84,0.6569678407350689,0.6477844889100337,0.013873100280761719,0.5513016845329249
Cross-Subject,Subject17,none,KNN,84,0.5206243032329989,0.5206596071108901,0.23982858657836914,0.5254552211073951
Subject-Dependent,Subject17,none,RF,84,0.7396630934150077,0.7283831885374863,3.4586150646209717,0.5513016845329249
Cross-Subject,Subject17,none,RF,84,0.5956893348197696,0.5926279281963617,93.22968316078186,0.5254552211073951
Subject-Dependent,Subject17,none,DT,84,0.6401225114854517,0.6381420637624656,4.184529066085815,0.5513016845329249
Cross-Subject,Subject17,none,DT,84,0.5202526941657376,0.5191407493313575,146.1284155845642,0.5254552211073951
Subject-Dependent,Subject17,none,GBoosting,84,0.7274119448698315,0.720415664743424,9.916819334030151,0.5513016845329249
Cross-Subject,Subject17,none,GBoosting,84,0.6395392047565961,0.6312085387149384,503.8731734752655,0.5254552211073951
Subject-Dependent,Subject17,anova,SVM,37,0.7503828483920367,0.7417633078286939,0.3226628303527832,0.5513016845329249
Cross-Subject,Subject17,anova,SVM,30,0.44555927164622816,0.39999001778869264,24.0920889377594,0.5254552211073951
Subject-Dependent,Subject17,anova,KNN,37,0.6875957120980092,0.6805697841759439,0.006616830825805664,0.5513016845329249
Cross-Subject,Subject17,anova,KNN,30,0.5366034931252323,0.5365579319734533,0.10131978988647461,0.5254552211073951
Subject-Dependent,Subject17,anova,RF,37,0.7304747320061256,0.723259241286455,2.4058620929718018,0.5513016845329249
Cross-Subject,Subject17,anova,RF,30,0.5852842809364549,0.5824755875213924,33.685911655426025,0.5254552211073951
Subject-Dependent,Subject17,anova,DT,37,0.6217457886676876,0.6174274117567302,0.3505845069885254,0.5513016845329249
Cross-Subject,Subject17,anova,DT,30,0.5261984392419174,0.5264488402879002,44.41935634613037,0.5254552211073951
Subject-Dependent,Subject17,anova,GBoosting,37,0.7151607963246555,0.7072139326261174,18.671433687210083,0.5513016845329249
Cross-Subject,Subject17,anova,GBoosting,30,0.6298773690078038,0.6250946594131465,238.32415509223938,0.5254552211073951
Subject-Dependent,Subject17,fi,SVM,15,0.7212863705972435,0.7131893540908788,1.5390284061431885,0.5513016845329249
Cross-Subject,Subject17,fi,SVM,26,0.4775176514306949,0.3455353718375788,47.518969774246216,0.5254552211073951
Subject-Dependent,Subject17,fi,KNN,15,0.6937212863705973,0.6891239258498943,0.014681100845336914,0.5513016845329249
Cross-Subject,Subject17,fi,KNN,26,0.5310293571163136,0.5313033827116218,0.06780290603637695,0.5254552211073951
Subject-Dependent,Subject17,fi,RF,15,0.7320061255742726,0.724681220836633,2.479356288909912,0.5513016845329249
Cross-Subject,Subject17,fi,RF,26,0.5756224451876626,0.5597614254036757,39.36341118812561,0.5254552211073951
Subject-Dependent,Subject17,fi,DT,15,0.6477794793261868,0.6469847851714706,0.7350711822509766,0.5513016845329249
Cross-Subject,Subject17,fi,DT,26,0.5091044221479004,0.5082318859053917,41.78168439865112,0.5254552211073951
Subject-Dependent,Subject17,fi,GBoosting,15,0.7243491577335375,0.7181498095670094,2.129955530166626,0.5513016845329249
Cross-Subject,Subject17,fi,GBoosting,26,0.6321070234113713,0.6191269032292929,203.10203623771667,0.5254552211073951
Subject-Dependent,Subject17,lcc,SVM,31,0.7396630934150077,0.731481607113636,0.47888994216918945,0.5513016845329249
Cross-Subject,Subject17,lcc,SVM,21,0.45782237086584915,0.39498897950288603,25.47707509994507,0.5254552211073951
Subject-Dependent,Subject17,lcc,KNN,31,0.6615620214395099,0.6547934106289772,0.0057070255279541016,0.5513016845329249
Cross-Subject,Subject17,lcc,KNN,21,0.5250836120401338,0.5251670880856896,0.061464786529541016,0.5254552211073951
Subject-Dependent,Subject17,lcc,RF,31,0.7396630934150077,0.7308382012577168,0.6003420352935791,0.5513016845329249
Cross-Subject,Subject17,lcc,RF,21,0.5823114083983649,0.5757428889278243,15.341643333435059,0.5254552211073951
Subject-Dependent,Subject17,lcc,DT,31,0.6477794793261868,0.644396200534783,0.281541109085083,0.5513016845329249
Cross-Subject,Subject17,lcc,DT,21,0.5154217762913416,0.5157198064068034,38.64221954345703,0.5254552211073951
Subject-Dependent,Subject17,lcc,GBoosting,31,0.7197549770290965,0.7124081555429487,5.619729995727539,0.5513016845329249
Cross-Subject,Subject17,lcc,GBoosting,21,0.6254180602006689,0.6117672965993927,214.38593649864197,0.5254552211073951
Subject-Dependent,Subject17,pca,SVM,41,0.7304747320061256,0.7238486244272171,0.34251904487609863,0.5513016845329249
Cross-Subject,Subject17,pca,SVM,35,0.46636937941285767,0.41104982182316374,24.903282642364502,0.5254552211073951
Subject-Dependent,Subject17,pca,KNN,41,0.6140888208269525,0.6050100056756682,0.006284952163696289,0.5513016845329249
Cross-Subject,Subject17,pca,KNN,35,0.5195094760312151,0.5188052082078027,0.3436253070831299,0.5254552211073951
Subject-Dependent,Subject17,pca,RF,41,0.7182235834609495,0.7106801158903849,4.975334882736206,0.5513016845329249
Cross-Subject,Subject17,pca,RF,35,0.5785953177257525,0.5737327863989682,34.06798338890076,0.5254552211073951
Subject-Dependent,Subject17,pca,DT,41,0.5911179173047473,0.5893130993982569,2.1277716159820557,0.5513016845329249
Cross-Subject,Subject17,pca,DT,35,0.5083612040133779,0.5086795375226089,74.56776785850525,0.5254552211073951
Subject-Dependent,Subject17,pca,GBoosting,41,0.7120980091883614,0.7082517349152041,26.146775245666504,0.5513016845329249
Cross-Subject,Subject17,pca,GBoosting,35,0.6183574879227053,0.6088341688863599,220.51915335655212,0.5254552211073951
Subject-Dependent,Subject18,none,SVM,84,0.6156202143950995,0.616551753140909,0.6498749256134033,0.5513016845329249
Cross-Subject,Subject18,none,SVM,84,0.4812337421033073,0.39614678772722056,57.48166489601135,0.5254552211073951
Subject-Dependent,Subject18,none,KNN,84,0.5130168453292496,0.5133709035911636,0.257035493850708,0.5513016845329249
Cross-Subject,Subject18,none,KNN,84,0.496098104793757,0.4961075684196661,0.6170179843902588,0.5254552211073951
Subject-Dependent,Subject18,none,RF,84,0.5788667687595712,0.5799778990407256,11.796531677246094,0.5513016845329249
Cross-Subject,Subject18,none,RF,84,0.568561872909699,0.5678070114580979,102.18875169754028,0.5254552211073951
Subject-Dependent,Subject18,none,DT,84,0.5267993874425727,0.5280478938312154,4.027441501617432,0.5513016845329249
Cross-Subject,Subject18,none,DT,84,0.5117056856187291,0.5118765960866739,108.29651737213135,0.5254552211073951
Subject-Dependent,Subject18,none,GBoosting,84,0.6064318529862175,0.6073856595904924,13.98196530342102,0.5513016845329249
Cross-Subject,Subject18,none,GBoosting,84,0.5592716462281679,0.5562845527612702,560.8267843723297,0.5254552211073951
Subject-Dependent,Subject18,anova,SVM,29,0.5758039816232772,0.5768153212623054,0.5708420276641846,0.5513016845329249
Cross-Subject,Subject18,anova,SVM,30,0.48940914158305465,0.4780847303776094,91.26296281814575,0.5254552211073951
Subject-Dependent,Subject18,anova,KNN,29,0.5344563552833078,0.5356618714322612,0.03944993019104004,0.5513016845329249
Cross-Subject,Subject18,anova,KNN,30,0.5105908584169454,0.5109052914989529,0.5255935192108154,0.5254552211073951
Subject-Dependent,Subject18,anova,RF,29,0.555895865237366,0.5569318682285603,2.2481813430786133,0.5513016845329249
Cross-Subject,Subject18,anova,RF,30,0.5388331475287997,0.5360883110937879,29.71928334236145,0.5254552211073951
Subject-Dependent,Subject18,anova,DT,29,0.5252679938744257,0.5257356443167109,0.402268648147583,0.5513016845329249
Cross-Subject,Subject18,anova,DT,30,0.4983277591973244,0.4986045216471482,13.37374496459961,0.5254552211073951
Subject-Dependent,Subject18,anova,GBoosting,29,0.5482388973966309,0.5485058900486117,4.000640392303467,0.5513016845329249
Cross-Subject,Subject18,anova,GBoosting,30,0.5380899293942772,0.5375357110088037,203.36511325836182,0.5254552211073951
Subject-Dependent,Subject18,fi,SVM,29,0.6064318529862175,0.6073002713956711,2.449568271636963,0.5513016845329249
Cross-Subject,Subject18,fi,SVM,26,0.4890375325157934,0.381252997014613,85.1805465221405,0.5254552211073951
Subject-Dependent,Subject18,fi,KNN,29,0.5130168453292496,0.513818886842432,0.0046672821044921875,0.5513016845329249
Cross-Subject,Subject18,fi,KNN,26,0.5102192493496841,0.5104855242515542,0.16519451141357422,0.5254552211073951
Subject-Dependent,Subject18,fi,RF,29,0.5895865237366003,0.5904051932541632,5.227555990219116,0.5513016845329249
Cross-Subject,Subject18,fi,RF,26,0.5488665923448532,0.549159089214805,39.66956400871277,0.5254552211073951
Subject-Dependent,Subject18,fi,DT,29,0.5497702909647779,0.5509125764509601,1.1913502216339111,0.5513016845329249
Cross-Subject,Subject18,fi,DT,26,0.5031586770717206,0.5031586770717206,39.13502550125122,0.5254552211073951
Subject-Dependent,Subject18,fi,GBoosting,29,0.5620214395099541,0.5622186531206813,5.054142236709595,0.5513016845329249
Cross-Subject,Subject18,fi,GBoosting,26,0.5447788926049796,0.5400269505367998,139.27285766601562,0.5254552211073951
Subject-Dependent,Subject18,lcc,SVM,33,0.5911179173047473,0.5919008468616889,0.493790864944458,0.5513016845329249
Cross-Subject,Subject18,lcc,SVM,20,0.48569305091044224,0.4572044116420405,48.98774743080139,0.5254552211073951
Subject-Dependent,Subject18,lcc,KNN,33,0.5267993874425727,0.5278767368019316,0.005528450012207031,0.5513016845329249
Cross-Subject,Subject18,lcc,KNN,20,0.5046451133407656,0.504962492954024,0.05792880058288574,0.5254552211073951
Subject-Dependent,Subject18,lcc,RF,33,0.5681470137825421,0.5688582581432888,1.052452564239502,0.5513016845329249
Cross-Subject,Subject18,lcc,RF,20,0.5380899293942772,0.5355626467207825,35.600181579589844,0.5254552211073951
Subject-Dependent,Subject18,lcc,DT,33,0.5405819295558959,0.5414227543990303,1.4715547561645508,0.5513016845329249
Cross-Subject,Subject18,lcc,DT,20,0.49424005945745075,0.4943370732407384,36.0321741104126,0.5254552211073951
Subject-Dependent,Subject18,lcc,GBoosting,33,0.5467075038284839,0.5463247847334387,26.716251134872437,0.5513016845329249
Cross-Subject,Subject18,lcc,GBoosting,20,0.5366034931252323,0.5347799820560133,121.35837578773499,0.5254552211073951
Subject-Dependent,Subject18,pca,SVM,46,0.6140888208269525,0.6150679226722515,0.7021243572235107,0.5513016845329249
Cross-Subject,Subject18,pca,SVM,35,0.48420661464139725,0.45465279137412973,27.52523636817932,0.5254552211073951
Subject-Dependent,Subject18,pca,KNN,46,0.5283307810107197,0.5294515879272623,0.005457639694213867,0.5513016845329249
Cross-Subject,Subject18,pca,KNN,35,0.4972129319955407,0.49724986964837453,0.2922203540802002,0.5254552211073951
Subject-Dependent,Subject18,pca,RF,46,0.6033690658499234,0.6038584732359613,5.464871168136597,0.5513016845329249
Cross-Subject,Subject18,pca,RF,35,0.5317725752508361,0.5301837840209235,33.00373935699463,0.5254552211073951
Subject-Dependent,Subject18,pca,DT,46,0.552833078101072,0.5539910080862509,1.5060462951660156,0.5513016845329249
Cross-Subject,Subject18,pca,DT,35,0.5198810850984764,0.520164634001708,64.37206387519836,0.5254552211073951
Subject-Dependent,Subject18,pca,GBoosting,46,0.5788667687595712,0.5798873789392428,21.73089051246643,0.5513016845329249
Cross-Subject,Subject18,pca,GBoosting,35,0.5314009661835749,0.5287255780888469,225.13391947746277,0.5254552211073951
Subject-Dependent,Subject19,none,SVM,84,0.4992343032159265,0.493472476991188,0.7217366695404053,0.5513016845329249
Cross-Subject,Subject19,none,SVM,84,0.5094760312151616,0.4721232447829523,65.01834535598755,0.5254552211073951
Subject-Dependent,Subject19,none,KNN,84,0.5237366003062787,0.5192649591951802,0.013099908828735352,0.5513016845329249
Cross-Subject,Subject19,none,KNN,84,0.5187662578966927,0.5186990787327643,1.10133695602417,0.5254552211073951
Subject-Dependent,Subject19,none,RF,84,0.5267993874425727,0.5178429937534733,11.265934705734253,0.5513016845329249
Cross-Subject,Subject19,none,RF,84,0.5191378669639539,0.515626330073509,83.37404274940491,0.5254552211073951
Subject-Dependent,Subject19,none,DT,84,0.5038284839203675,0.4990009221923988,3.1189305782318115,0.5513016845329249
Cross-Subject,Subject19,none,DT,84,0.49572649572649574,0.4945983154749267,104.98681426048279,0.5254552211073951
Subject-Dependent,Subject19,none,GBoosting,84,0.5283307810107197,0.518294171586929,15.4057297706604,0.5513016845329249
Cross-Subject,Subject19,none,GBoosting,84,0.5351170568561873,0.5318757309102914,507.8620858192444,0.5254552211073951
Subject-Dependent,Subject19,anova,SVM,10,0.4992343032159265,0.5000096550742247,0.3650987148284912,0.5513016845329249
Cross-Subject,Subject19,anova,SVM,30,0.5027870680044593,0.47486851523004553,70.37434244155884,0.5254552211073951
Subject-Dependent,Subject19,anova,KNN,10,0.5237366003062787,0.5248209228006497,0.00923776626586914,0.5513016845329249
Cross-Subject,Subject19,anova,KNN,30,0.48420661464139725,0.4844463043338323,0.3297414779663086,0.5254552211073951
Subject-Dependent,Subject19,anova,RF,10,0.5267993874425727,0.5274320842637934,2.2427830696105957,0.5513016845329249
Cross-Subject,Subject19,anova,RF,30,0.4801189149015236,0.4802941260170496,18.65580439567566,0.5254552211073951
Subject-Dependent,Subject19,anova,DT,10,0.4946401225114854,0.49525888988320166,0.6859641075134277,0.5513016845329249
Cross-Subject,Subject19,anova,DT,30,0.5117056856187291,0.5119272905748727,90.77901315689087,0.5254552211073951
Subject-Dependent,Subject19,anova,GBoosting,10,0.5099540581929556,0.5093586838664333,1.737914800643921,0.5513016845329249
Cross-Subject,Subject19,anova,GBoosting,30,0.5020438498699368,0.5023145694211554,165.04117345809937,0.5254552211073951
Subject-Dependent,Subject19,fi,SVM,25,0.5467075038284839,0.5409820413237998,0.5530316829681396,0.5513016845329249
Cross-Subject,Subject19,fi,SVM,23,0.4923820141211446,0.43891955441904573,80.69567942619324,0.5254552211073951
Subject-Dependent,Subject19,fi,KNN,25,0.5237366003062787,0.5212939543278526,0.003710031509399414,0.5513016845329249
Cross-Subject,Subject19,fi,KNN,23,0.4983277591973244,0.4983465113369435,0.34075188636779785,0.5254552211073951
Subject-Dependent,Subject19,fi,RF,25,0.5344563552833078,0.5226734932537801,6.395413398742676,0.5513016845329249
Cross-Subject,Subject19,fi,RF,23,0.49869936826458566,0.49101473354797925,17.380648612976074,0.5254552211073951
Subject-Dependent,Subject19,fi,DT,25,0.47166921898928027,0.4711264808654246,0.3586597442626953,0.5513016845329249
Cross-Subject,Subject19,fi,DT,23,0.4972129319955407,0.4971108662445511,10.76752233505249,0.5254552211073951
Subject-Dependent,Subject19,fi,GBoosting,25,0.5267993874425727,0.5165003449842653,9.9805748462677,0.5513016845329249
Cross-Subject,Subject19,fi,GBoosting,23,0.5273132664437012,0.5141672261916828,182.70939826965332,0.5254552211073951
Subject-Dependent,Subject19,lcc,SVM,30,0.4992343032159265,0.4915080761878832,0.5335743427276611,0.5513016845329249
