Scenario,Subject,Method,Model,Features,Accuracy,F1,TrainTime_s,BaselineAcc
Cross-Subject,Subject13,fi,RF,26,0.5748792270531401,0.5630163795788551,29.00491166114807,0.5254552211073951
Subject-Dependent,Subject13,fi,DT,21,0.5313935681470138,0.5286812683762829,0.8605387210845947,0.5513016845329249
Cross-Subject,Subject13,fi,DT,26,0.5484949832775919,0.5468090461481957,57.65502977371216,0.5254552211073951
Subject-Dependent,Subject13,fi,GBoosting,21,0.5972434915773354,0.5952504530043309,4.938863754272461,0.5513016845329249
Cross-Subject,Subject13,fi,GBoosting,26,0.5942028985507246,0.5878213831932242,214.50560808181763,0.5254552211073951
Subject-Dependent,Subject13,lcc,SVM,25,0.6263399693721287,0.6267569848793931,0.3751511573791504,0.5513016845329249
Cross-Subject,Subject13,lcc,SVM,20,0.5269416573764399,0.45306988938170667,40.6010377407074,0.5254552211073951
Subject-Dependent,Subject13,lcc,KNN,25,0.6263399693721287,0.625655707995646,0.004566669464111328,0.5513016845329249
Cross-Subject,Subject13,lcc,KNN,20,0.5287997027127462,0.5286830004749122,0.05163383483886719,0.5254552211073951
Subject-Dependent,Subject13,lcc,RF,25,0.6049004594180705,0.6055925365170124,0.9686408042907715,0.5513016845329249
Cross-Subject,Subject13,lcc,RF,20,0.5719063545150501,0.5707275999716965,29.851934909820557,0.5254552211073951
Subject-Dependent,Subject13,lcc,DT,25,0.5375191424196019,0.5383292481710764,0.3463568687438965,0.5513016845329249
Cross-Subject,Subject13,lcc,DT,20,0.5336306205871423,0.5339002881922739,28.461224794387817,0.5254552211073951
Subject-Dependent,Subject13,lcc,GBoosting,25,0.6064318529862175,0.6074050106929242,22.021271467208862,0.5513016845329249
Cross-Subject,Subject13,lcc,GBoosting,20,0.5956893348197696,0.5942393755143822,173.59410190582275,0.5254552211073951
Subject-Dependent,Subject13,pca,SVM,31,0.5941807044410413,0.5950533826635328,0.6527116298675537,0.5513016845329249
Cross-Subject,Subject13,pca,SVM,35,0.5354886659234486,0.5061970306615896,25.18962049484253,0.5254552211073951
Subject-Dependent,Subject13,pca,KNN,31,0.5635528330781011,0.5620666232396965,0.005290508270263672,0.5513016845329249
Cross-Subject,Subject13,pca,KNN,35,0.5287997027127462,0.5287142002973796,0.46532630920410156,0.5254552211073951
Subject-Dependent,Subject13,pca,RF,31,0.6049004594180705,0.6049004594180705,3.491854429244995,0.5513016845329249
Cross-Subject,Subject13,pca,RF,35,0.5626161278335191,0.5579654986312556,34.38115620613098,0.5254552211073951
Subject-Dependent,Subject13,pca,DT,31,0.5237366003062787,0.5249790002876188,1.5586495399475098,0.5513016845329249
Cross-Subject,Subject13,pca,DT,35,0.5176514306949089,0.5165272197554724,74.9107894897461,0.5254552211073951
Subject-Dependent,Subject13,pca,GBoosting,31,0.6003062787136294,0.6001071473036947,18.733548879623413,0.5513016845329249
Cross-Subject,Subject13,pca,GBoosting,35,0.5849126718691936,0.5833627197922097,220.26221179962158,0.5254552211073951
Subject-Dependent,Subject14,none,SVM,84,0.6615620214395099,0.6623689025233557,0.43105292320251465,0.5513016845329249
Cross-Subject,Subject14,none,SVM,84,0.4790040876997399,0.3334795859607382,53.07431149482727,0.5254552211073951
Subject-Dependent,Subject14,none,KNN,84,0.5849923430321593,0.5859080682810385,0.007964134216308594,0.5513016845329249
Cross-Subject,Subject14,none,KNN,84,0.5299145299145299,0.530201564282045,0.6040427684783936,0.5254552211073951
Subject-Dependent,Subject14,none,RF,84,0.6845329249617151,0.6849578617061424,7.740095853805542,0.5513016845329249
Cross-Subject,Subject14,none,RF,84,0.5778520995912301,0.5728597025920218,110.37715435028076,0.5254552211073951
Subject-Dependent,Subject14,none,DT,84,0.5972434915773354,0.5983039128179372,3.6371304988861084,0.5513016845329249
Cross-Subject,Subject14,none,DT,84,0.5239687848383501,0.5242766530873946,116.14687275886536,0.5254552211073951
Subject-Dependent,Subject14,none,GBoosting,84,0.655436447166922,0.6563409900177916,14.791061401367188,0.5513016845329249
Cross-Subject,Subject14,none,GBoosting,84,0.568561872909699,0.5523714070921463,505.5767331123352,0.5254552211073951
Subject-Dependent,Subject14,anova,SVM,41,0.6186830015313936,0.6196524309887406,0.6619641780853271,0.5513016845329249
Cross-Subject,Subject14,anova,SVM,30,0.47491638795986624,0.43986553096848086,61.86090898513794,0.5254552211073951
Subject-Dependent,Subject14,anova,KNN,41,0.5911179173047473,0.5921574259999747,0.018287181854248047,0.5513016845329249
Cross-Subject,Subject14,anova,KNN,30,0.5366034931252323,0.5368714417336775,0.1899411678314209,0.5254552211073951
Subject-Dependent,Subject14,anova,RF,41,0.6186830015313936,0.6194475982931946,2.3632094860076904,0.5513016845329249
Cross-Subject,Subject14,anova,RF,30,0.568561872909699,0.5688088174207037,19.633012533187866,0.5254552211073951
Subject-Dependent,Subject14,anova,DT,41,0.5941807044410413,0.5945838276104506,1.4470319747924805,0.5513016845329249
Cross-Subject,Subject14,anova,DT,30,0.5247120029728726,0.5250143050251744,75.39706134796143,0.5254552211073951
Subject-Dependent,Subject14,anova,GBoosting,41,0.6248085758039816,0.6257711814667647,40.79433226585388,0.5513016845329249
Cross-Subject,Subject14,anova,GBoosting,30,0.5953177257525084,0.5952355752700046,206.39277815818787,0.5254552211073951
Subject-Dependent,Subject14,fi,SVM,16,0.6232771822358346,0.6241559985662961,1.3740465641021729,0.5513016845329249
Cross-Subject,Subject14,fi,SVM,26,0.4775176514306949,0.35989105987595627,97.50905466079712,0.5254552211073951
Subject-Dependent,Subject14,fi,KNN,16,0.6156202143950995,0.6160457553509111,0.0037627220153808594,0.5513016845329249
Cross-Subject,Subject14,fi,KNN,26,0.5332590115198811,0.5335614873601158,0.13402652740478516,0.5254552211073951
Subject-Dependent,Subject14,fi,RF,16,0.6339969372128637,0.6349626104390306,1.0680737495422363,0.5513016845329249
Cross-Subject,Subject14,fi,RF,26,0.5711631363805277,0.5643827577840159,43.33198690414429,0.5254552211073951
Subject-Dependent,Subject14,fi,DT,16,0.5696784073506891,0.570808080866664,0.5924427509307861,0.5513016845329249
Cross-Subject,Subject14,fi,DT,26,0.5299145299145299,0.5285868179975376,44.04633569717407,0.5254552211073951
Subject-Dependent,Subject14,fi,GBoosting,16,0.6263399693721287,0.6273256896635903,2.59879732131958,0.5513016845329249
Cross-Subject,Subject14,fi,GBoosting,26,0.5641025641025641,0.5376776487780395,178.9427740573883,0.5254552211073951
Subject-Dependent,Subject14,lcc,SVM,31,0.6248085758039816,0.6257362942403363,0.7973556518554688,0.5513016845329249
Cross-Subject,Subject14,lcc,SVM,20,0.463768115942029,0.410070203413944,41.49811005592346,0.5254552211073951
Subject-Dependent,Subject14,lcc,KNN,31,0.6003062787136294,0.6012162728326995,0.023880958557128906,0.5513016845329249
Cross-Subject,Subject14,lcc,KNN,20,0.5258268301746563,0.5258864175027622,0.1644120216369629,0.5254552211073951
Subject-Dependent,Subject14,lcc,RF,31,0.6202143950995406,0.6210559756478821,0.9948291778564453,0.5513016845329249
Cross-Subject,Subject14,lcc,RF,20,0.5637309550353029,0.5639975075569089,25.96825885772705,0.5254552211073951
Subject-Dependent,Subject14,lcc,DT,31,0.5895865237366003,0.5903767339181706,0.9111361503601074,0.5513016845329249
Cross-Subject,Subject14,lcc,DT,20,0.5042735042735043,0.5045928235261808,23.34764289855957,0.5254552211073951
Subject-Dependent,Subject14,lcc,GBoosting,31,0.6140888208269525,0.6151053701812881,27.060174226760864,0.5513016845329249
Cross-Subject,Subject14,lcc,GBoosting,20,0.5897435897435898,0.5899921619834092,107.41071271896362,0.5254552211073951
