Scenario,Model,Method,Mean_Accuracy,Mean_F1,Mean_TrainTime
Cross-Subject,GBoosting,lcc,0.5602651191990085,0.5391415504781969,89.10888341665267
Cross-Subject,GBoosting,pca,0.5600424295520794,0.5391839037741162,99.80867645740508
Cross-Subject,GBoosting,none,0.5547043836506916,0.5247035509137781,40.908275437355044
Cross-Subject,RF,lcc,0.5536784710908113,0.5369350590843842,78.12531943321228
Cross-Subject,RF,pca,0.5535576109989071,0.5334459984045122,151.10878084897996
Cross-Subject,RF,none,0.5520587160475392,0.5286776589841516,339.8721855759621
Cross-Subject,RF,anova,0.5510052620384884,0.5302955468095883,458.2961375951767
Cross-Subject,GBoosting,anova,0.5506257061745384,0.5247314252483618,101.87532949447632
Cross-Subject,GBoosting,fi,0.5484601910211759,0.5166076799122846,96.1343240737915
Cross-Subject,RF,fi,0.5424466492521185,0.5167681797818923,100.87244493961335
Cross-Subject,KNN,lcc,0.5247230853957883,0.5222181486008892,0.36016173362731935
Cross-Subject,KNN,pca,0.5238255780142415,0.520035336154034,0.4357356786727905
Cross-Subject,KNN,fi,0.5204481500496099,0.515541001006835,0.6589985251426697
Cross-Subject,DT,lcc,0.5203658082575371,0.5188975217807397,75.86577574014663
Cross-Subject,DT,fi,0.5175623599852182,0.5151290596399283,70.0457706451416
Cross-Subject,KNN,anova,0.5169430721002706,0.5140360236416441,1.0772028803825378
Cross-Subject,DT,anova,0.5156293091844902,0.5139868411174475,81.8165385723114
Cross-Subject,KNN,none,0.5153791705610797,0.5125684545181437,0.5352933049201966
Cross-Subject,DT,pca,0.515296361268191,0.5143945785416496,90.16186465024948
Cross-Subject,DT,none,0.5137046870981077,0.5118222727685964,99.69583812952041
Subject-Dependent,GBoosting,none,0.6368802440884821,0.6347288217090226,20.004038310050966
Subject-Dependent,RF,none,0.6302822273073989,0.6273137319623097,9.158887493610383
Subject-Dependent,GBoosting,anova,0.6297482837528604,0.6280596557963095,15.009829783439637
Subject-Dependent,RF,fi,0.6280701754385964,0.6249037151613714,8.664559936523437
Subject-Dependent,GBoosting,fi,0.6259344012204424,0.6234802510003846,54.017261552810666
Subject-Dependent,GBoosting,lcc,0.624370709382151,0.6224058397117476,92.2766886472702
Subject-Dependent,RF,anova,0.6242181540808543,0.6212218657358191,8.115762674808503
Subject-Dependent,RF,lcc,0.6241418764302059,0.6209885994262334,4.93252683877945
Subject-Dependent,RF,pca,0.620747520976354,0.6196712243697229,5.507517027854919
Subject-Dependent,GBoosting,pca,0.6146453089244852,0.6137523666227255,77.16064929962158
Subject-Dependent,KNN,fi,0.5935926773455378,0.5915396421707844,0.02162141799926758
Subject-Dependent,KNN,anova,0.5793668954996185,0.5763682965202661,0.07165673971176148
Subject-Dependent,KNN,none,0.5782990083905416,0.5754871252932167,0.022461116313934326
Subject-Dependent,KNN,lcc,0.5779176201372997,0.5753895565855297,0.016018223762512208
Subject-Dependent,KNN,pca,0.5693745232646835,0.5662094742501307,0.03464844226837158
Subject-Dependent,DT,fi,0.5677726926010679,0.5673471932410299,1.9760430216789246
Subject-Dependent,DT,none,0.5636536994660564,0.5635676279960726,6.591156494617462
Subject-Dependent,DT,anova,0.5623569794050344,0.5622670206995246,6.61421104669571
Subject-Dependent,DT,lcc,0.5619755911517925,0.5621235704351271,2.4442615032196047
Subject-Dependent,DT,pca,0.5552631578947368,0.55576139202878,3.327273976802826
